mep,epid,country,group,dossier,lobbyists,title,committees,location,role,date
Andrus ANSIP,124696,Estonia,RE,,"Hannele Timonen, Isabella Paju",Meeting with Ministry of Economic Affairs and Employment of Finland,,Strasbourg,Member,22/10/2019
Andrus ANSIP,124696,Estonia,RE,,Petra Wikstrom,Meeting with Schibsted,,Brussels,Member,01/10/2019
Andrus ANSIP,124696,Estonia,RE,,Sabina Ciofu,Meeting with TechUK,,Brussels,Member,01/10/2019
Andrus ANSIP,124696,Estonia,RE,,"Tomas Jakimavicius, Maria Sotiriou",Meeting with GSMA,,Strasbourg,Member,17/09/2019
Andrus ANSIP,124696,Estonia,RE,,"Angel Labrusse, Helen Smith",Meeting with IMPALA,,Brussels,Member,04/09/2019
Andrus ANSIP,124696,Estonia,RE,,"Naomi Linder Kahn, Jenny Aharon, Meir Deutsch",Meeting with Regavim,,Brussels,Member,04/09/2019
Andrus ANSIP,124696,Estonia,RE,,"Joakim Reiter, Agnieszka Skorupinska",Meeting with Vodafone,,Brussels,Member,04/09/2019
Andrus ANSIP,124696,Estonia,RE,,"Annie Deadman, Innecenzo Genna, Dr. Maximilian Schubert, Alexandra Lafitte",Meeting with EuroISPA,,Brussels,Member,22/07/2019
Andrus ANSIP,124696,Estonia,RE,,"Lise Fuhr,, Alessandro Gropelli",Meeting with European Telecommunications Network Operators' Association,,Brussels,Member,22/07/2019
Andrus ANSIP,124696,Estonia,RE,,Cécile Despringre,Society of Audiovisual Authors,,Brussels,Member,22/07/2019
Andrus ANSIP,124696,Estonia,RE,,"Hendrik Jan van Oostrum (Ahold Delhaize), Constatin Gissler (amazon), Christian Verschueren (EuroCommerce), Patricia E.H Hoogstraaten Rae (Vakcentrum)",Meeting with EuroCommerce,,Strasbourg,Member,17/07/2019
Andrus ANSIP,124696,Estonia,RE,,"Adele Naudy Chambaud (Schneider Electric), Larisa Pircalabelu (Ericsson), Matti Mannonen (Technology Industries of Finland), Ray Pinto (DIGITALEUROPE), Cecilia Bonefeld-Dahl (DIGITALEUROPE)",Meeting with DIGITALEUROPE,,Strasbourg,Member,16/07/2019
Andrus ANSIP,124696,Estonia,RE,,"Viktorija Molnar (EHHA), Georgina Browes (airbnb), Ana Perdigao (Expedia Group)",Meeting with Europan Holiday Home Association,,Strasbourg,Member,16/07/2019
Andrus ANSIP,124696,Estonia,RE,,"Nicola Frank, Vincent Sneed, Wouter Gekiere",Meeting with European Broadcasting Union,,Strasbourg,Member,16/07/2019
Andrus ANSIP,124696,Estonia,RE,,"John Frank, Microsoft Vice-President",Meeting with Microsoft,,Strasbourg,Member,03/07/2019
Fabienne KELLER,22858,France,RE,[''],Red Cross EU,Rapport Dublin III,['LIBE'],à distance,Member,05/06/2020
Fabienne KELLER,22858,France,RE,[''],INRIA (Institut national de recherche en informatique et en automatique),Traçage Numérique,['LIBE'],à distance,Member,22/04/2020
Fabienne KELLER,22858,France,RE,[''],INRIA (Institut national de recherche en informatique et en automatique),Traçage Numérique,['LIBE'],à distance (via zoom),Member,15/04/2020
Fabienne KELLER,22858,France,RE,,Conseil National des Villes,Séminaire sur la représentation du sport féminin dans les médias et l'impact sur les jeunes de quartier,,Paris,Member,05/03/2020
Fabienne KELLER,22858,France,RE,,Directrice Gares et Connexions,Inter-connexion en Europe,,Paris,Member,28/02/2020
Fabienne KELLER,22858,France,RE,,le Défenseur des Droits,Rencontre en tant que co-présidente du Conseil National des Villes,,Paris,Member,27/02/2020
Fabienne KELLER,22858,France,RE,,Eurojust et députés européens français,Présentation de l'Agence Eurojust,,Bruxelles,Member,20/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Représentation Permanente de la Belgique auprès de l'UE,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,['LIBE'],Bruxelles,Rapporteur,20/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Représentation permanente du Pays-bas auprès de l'UE,Rapport de mis en oeuvre Dublin III + règlement Dublin IV,['LIBE'],Bruxelles,Rapporteur,20/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],EASO,Asile et Migration et Audition Dublin III,['LIBE'],Bruxelles,Rapporteur,19/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rendez-vous avec la représentation permanente française,"Asile et Migration, Rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,18/02/2020
Fabienne KELLER,22858,France,RE,,Petit Déjeuner avec le Président Macron,Les priorités de la délégation Renaissance pour l'Europe,,Paris,Member,14/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rencontre avec la Police de l'Air et des Frontières,"Visite des zones d’accueil et d’attente des demandeurs d’asile de l’aéroport Roissy Charles de Gaulle et d’un centre de rétention, organisée par la RP France",['LIBE'],Paris,Rapporteur,14/02/2020
Fabienne KELLER,22858,France,RE,,Réunion de rentrée de la Secrétaire d’État chargé des affaires européennes,Les priorités pour l’Europe,,Paris,Member,13/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rencontre avec le Barreau de France,La situation des migrants dans les camps,['LIBE'],Strasbourg,Rapporteur,11/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rencontre avec la commissaire européenne aux affaires intérieures,"Le rapport d’évaluation de Dublin III, le New Pact et Dublin IV",['LIBE'],Strasbourg,Rapporteur,11/02/2020
Fabienne KELLER,22858,France,RE,[''],Rencontre avec la Secrétaire d’État chargé des affaires européennes,Réglement sur les contenus terroristes en ligne,['LIBE'],Strasbourg,Member,11/02/2020
Fabienne KELLER,22858,France,RE,,Dîner avec le secrétaire d’Etat aux transports,Transports,,Strasbourg,Member,10/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],"Rencontre avec le ministère de l’Intérieur allemand, et de l’office fédéral de l’asile et des Migrations (Bundesamt fuer Asyl und Migration)","Asile et Migration, Rapport Dublin III",['LIBE'],"Bochum, Allemagne",Rapporteur,07/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rendez-vous avec la Directrice générale de la DG HOME,Asile et Migration,['LIBE'],Bruxelles,Rapporteur,06/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rendez-vous avec la représentation allemande,"Asile et Migration, Rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,06/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rendez-vous avec la représentation permanente maltaise,"Asile et Migration, Rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,06/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rendez-vous avec la représentation permanente espagnole,"Asile et Migration, Rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,06/02/2020
Fabienne KELLER,22858,France,RE,,Rencontre avec le coordinateur interministériel pour le développement de l’usage du vélo,Aménagement des territoires pour développer l’utilisation du vélo en ville,,Paris,Member,05/02/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Groupe de Travail Asile et Migration de l’Institut Montaigne,Asile et Migration,['LIBE'],Paris,Rapporteur,05/02/2020
