name,id,voted,votes,percent,active
"Ivari PADAR",97025,2941,9746,30.18,True
"Wolf KLINZ",28244,2841,9746,29.15,True
"Olli REHN",2119,135,469,28.78,False
"Louis IDE",125108,53,190,27.89,False
"Jean-Marie LE PEN",1023,2596,9746,26.64,True
"Ana MIRANDA",24942,2487,9746,25.52,True
"Lívia JÁRÓKA",28141,2440,9746,25.04,True
"Giancarlo SCOTTÀ",96996,2427,9746,24.90,True
"Giovanni TOTI",124764,275,1124,24.47,False
"Innocenzo LEONTINI",72754,2054,9746,21.08,True
"Miguel ARIAS CAÑETE",1351,10,58,17.24,False
"Andrus ANSIP",124696,4,58,6.90,False
"Corina CREȚU",33997,4,58,6.90,False
"Valdis DOMBROVSKIS",28618,4,58,6.90,False
"Christos STYLIANIDES",124688,4,58,6.90,False
"Martin SCHULZ",1911,101,4770,2.12,False
"Philip BRADBOURN",4540,0,203,0.00,False
"Brian CROWLEY",2109,0,9746,0.00,True
"Jordi Vicent SEBASTIA TALAVERA",125053,0,4114,0.00,False
"Marianne THYSSEN",1832,0,58,0.00,False
