epid,mep,country,group,dossier,title,lobbyists,committees,location,role,date
22858,Fabienne KELLER,France,RE,,Transports,Dîner avec le secrétaire d’Etat aux transports,,Strasbourg,Member,10/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III","Rencontre avec le ministère de l’Intérieur allemand, et de l’office fédéral de l’asile et des Migrations (Bundesamt fuer Asyl und Migration)",['LIBE'],"Bochum, Allemagne",Rapporteur,7/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Asile et Migration,Rendez-vous avec la Directrice générale de la DG HOME,['LIBE'],Bruxelles,Rapporteur,6/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation allemande,['LIBE'],Bruxelles,Rapporteur,6/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente maltaise,['LIBE'],Bruxelles,Rapporteur,6/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente espagnole,['LIBE'],Bruxelles,Rapporteur,6/2/2020
22858,Fabienne KELLER,France,RE,,Aménagement des territoires pour développer l’utilisation du vélo en ville,Rencontre avec le coordinateur interministériel pour le développement de l’usage du vélo,,Paris,Member,5/2/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Asile et Migration,Groupe de Travail Asile et Migration de l’Institut Montaigne,['LIBE'],Paris,Rapporteur,5/2/2020
22858,Fabienne KELLER,France,RE,,"Débat « Des élus et des idées » : Le défi climatique, la transition numérique, l’approfondissement de la zone euro et du marché unique, la défense du multilatéralisme","Dialogue avec les think tanks français sur les grands enjeux de l’Europe - Organisé par l’Institut Jacques Delors, Confrontation Europe et la Fondation Robert Schuman.",,Bruxelles,Member,30/1/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, Rapport Dublin III",RDV avec EASO,['LIBE'],Bruxelles,Rapporteur,29/1/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Asile et Migration, rapport Dublin III",RDV avec DG HOME,['LIBE'],Bruxelles,Rapporteur,29/1/2020
22858,Fabienne KELLER,France,RE,,Conférence sur l’avenir de l’Europe,Groupe de travail avec la Fondation Jacques Delors,,Paris,Member,27/1/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],"Situation en Croatie, Asile et Migration",Rencontre avec le représentant Europe Centrale du UNHCR,['LIBE'],Bruxelles,Rapporteur,20/1/2020
22858,Fabienne KELLER,France,RE,['Dublin III'],Visite de l'Office français de protection des réfugiés et des apatrides,OFPRA,['LIBE'],Paris,Rapporteur,17/1/2020
22858,Fabienne KELLER,France,RE,,Organisation des Assises européennes à Strasbourg,"Rencontre avec Pierre Creuzet, Président de l’association Centre-Ville en mouvement",,Strasbourg,Member,15/1/2020
22858,Fabienne KELLER,France,RE,,La stratégie d’innovation d’Alstom en terme de transformation écologique et révolution numérique de leur trains et outils de signalisation ferroviaire pour s’inscrire dans le,Rencontre avec le PDG d’Alstrom,,Strasbourg,Member,14/1/2020
22858,Fabienne KELLER,France,RE,[''],Asile et Migration,"DG Elargissemnt, Commission Européenne",['LIBE'],Parlement Européen - Bruxelles,Member,4/12/2019
22858,Fabienne KELLER,France,RE,[''],Journée européenne des PME,Confédération des Petites et Moyennes Entreprises - CPME,['BUDG'],Bruxelles,Member,4/12/2019
22858,Fabienne KELLER,France,RE,[''],Migration et Frontières,Agence Frontex,['LIBE'],Parlement Européen - Bruxelles,Member,13/11/2019
22858,Fabienne KELLER,France,RE,[''],Asile et Migration et situation en Grèce,ONG Human Rights Watch,['LIBE'],Parlement Européen - Bruxelles,Member,12/11/2019
22858,Fabienne KELLER,France,RE,,La place des territoires et de la ruralité dans les politiques européennes 2021-2027,L'Association National des Pôles d'équilibre territoriaux et ruraux et des Pays,,Parlement Européen- Strasbourg,Member,23/10/2019
22858,Fabienne KELLER,France,RE,[''],Sujets: Asile et Migration,"Marteen Grothuizen, Membre du Parlement Néerlandais",['LIBE'],Parlement Européen - Bruxelles,Member,7/10/2019
22858,Fabienne KELLER,France,RE,,"Forum d'échange entre collectivités européennes et chinoises ""Euro-China Greens & Smart Cities"", dans le cadre des programmes européens de coopération UE-Chine. Invitation en lien avec mon expérience de Maire de Strasbourg et de Députée européenne, aux côtés de l'Ambassadeur de l'UE en Chine et de Jean-Pierre Raffarin, Président de la Fondation Prospective & Innovation","Fondation Prospective & Innovation-FPI, Jean-Pierre Raffarin, Nicolas Chapuis, Ambassadeur de l'UE en Chine, China Centre for Urban Developement-CCUD, National Development and Reform Commission-NDRC",,Nanning (Chine),Member,27/9/2019
22858,Fabienne KELLER,France,RE,['Réglement de Dublin'],Immigration,Représentation permanente du Royaume-Uni auprès de l'UE,['LIBE'],"Parlement européen, Bruxelles",Rapporteur,23/9/2019
22858,Fabienne KELLER,France,RE,[''],Sujets LIBE,"Commisaire Européenne à la Justice, aux Consommateurs et à l'Egalité des genres",['LIBE'],Parlement Européen - Strasbourg,Member,17/9/2019
22858,Fabienne KELLER,France,RE,[''],Sujets LIBE,Representation Permanente de la France,['LIBE'],Parlement Européen - Bruxelles,Member,10/9/2019
22858,Fabienne KELLER,France,RE,[''],"Système d'information - espace de liberté, de sécurité et de justice",Directeur d'EU Lisa,['LIBE'],Parlement Européen- Bruxelles,Member,3/9/2019
96711,Pascal CANFIN,France,RE,,EU Green Recovery/clean mobility,Renault,,Bruxelles,Member,20/5/2020
96711,Pascal CANFIN,France,RE,,Green finance,MAIF,,Bruxelles,Member,19/5/2020
96711,Pascal CANFIN,France,RE,,Clean mobility/EU Green Recovery,Michelin,,Bruxelles,Member,14/5/2020
96711,Pascal CANFIN,France,RE,,Energy transition,ENEL,,Bruxelles,Member,12/5/2020
96711,Pascal CANFIN,France,RE,,Energy,International Energy agency,,Bruxelles,Member,11/5/2020
96711,Pascal CANFIN,France,RE,,aviation,Air France,,Bruxelles,Member,7/5/2020
96711,Pascal CANFIN,France,RE,,EU Green Recovery,Volvo,,Bruxelles,Member,7/5/2020
96711,Pascal CANFIN,France,RE,,EU Green Recovery/clean mobility,Keolis,,Bruxelles,Member,7/5/2020
96711,Pascal CANFIN,France,RE,,Green Deal/Green Recovery,Green10,,Bruxelles,Member,14/4/2020
96711,Pascal CANFIN,France,RE,,Energy transition,ADEME,,Bruxelles,Member,8/4/2020
96711,Pascal CANFIN,France,RE,,"Energy transition, Green Deal",Vattenfal,,Bruxelles,Member,4/3/2020
96711,Pascal CANFIN,France,RE,,EU chemical strategy/Brexit,CEFIC,,Bruxelles,Member,2/3/2020
96711,Pascal CANFIN,France,RE,,Private companies and sustainable development,Club de Rome,,Bruxelles,Member,2/3/2020
96711,Pascal CANFIN,France,RE,,Shipping emission,Transport&Environment,,Bruxelles,Member,26/2/2020
96711,Pascal CANFIN,France,RE,,engagement climatique des entreprises,Amazon,,Bruxelles,Member,20/2/2020
96711,Pascal CANFIN,France,RE,,neutralité climatique en Pologne,WWF Pologne,,Bruxelles,Member,20/2/2020
96711,Pascal CANFIN,France,RE,,"Sustainable finance, Green Deal",Société Général,,Bruxelles,Member,20/2/2020
96711,Pascal CANFIN,France,RE,,"Mobilité durable, secteur de l'automobile et neutralité climatique",Partenariat Français Automobile,,Bruxelles,Member,19/2/2020
96711,Pascal CANFIN,France,RE,,"Neutralité climatique, politique énergétique",ADEME,,Bruxelles,Member,19/2/2020
96711,Pascal CANFIN,France,RE,,"transport ferroviaire, mobilité durable",SNCF,,Bruxelles,Member,19/2/2020
96711,Pascal CANFIN,France,RE,,"efficacité énergétique, économie circulaire",Saint Gobain,,Strasbourg,Member,12/2/2020
96711,Pascal CANFIN,France,RE,,"Neutralité climatique et contribution du secteur de l'acier, ETS, mécanisme d'ajustement carbone aux frontières",EUROFER,,Strasbourg,Member,12/2/2020
96711,Pascal CANFIN,France,RE,,"neutralité climatique, économie circulaire",Suez,,Bruxelles,Member,6/2/2020
96711,Pascal CANFIN,France,RE,,"Biodiversité, déforestation",Carrefour,,Paris,Member,31/1/2020
96711,Pascal CANFIN,France,RE,,Energy transition in Europe,GRDF,,Bruxelles,Member,30/1/2020
96711,Pascal CANFIN,France,RE,,Climate neutrality in Europe,European Climate Foundation,,Bruxelles,Member,28/1/2020
96711,Pascal CANFIN,France,RE,,sustainable finance,WWF,,Bruxelles,Member,23/1/2020
96711,Pascal CANFIN,France,RE,,Transition in Central Europe,PGE,,Bruxelles,Member,23/1/2020
