mep,epid,group,country,lobbyists,dossier,committees,role,title,location,date
Fabienne KELLER,22858,RE,France,Rendez-vous avec la représentation permanente française,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III",Bruxelles,18/02/2020
Fabienne KELLER,22858,RE,France,Petit Déjeuner avec le Président Macron,,,Member,Les priorités de la délégation Renaissance pour l'Europe,Paris,14/02/2020
Fabienne KELLER,22858,RE,France,Rencontre avec la Police de l'Air et des Frontières,['Dublin III'],['LIBE'],Rapporteur,"Visite des zones d’accueil et d’attente des demandeurs d’asile de l’aéroport Roissy Charles de Gaulle et d’un centre de rétention, organisée par la RP France",Paris,14/02/2020
Fabienne KELLER,22858,RE,France,Réunion de rentrée de la Secrétaire d’État chargé des affaires européennes,,,Member,Les priorités pour l’Europe,Paris,13/02/2020
Fabienne KELLER,22858,RE,France,Rencontre avec le Barreau de France,['Dublin III'],['LIBE'],Rapporteur,La situation des migrants dans les camps,Strasbourg,11/02/2020
Fabienne KELLER,22858,RE,France,Rencontre avec la commissaire européenne aux affaires intérieures,['Dublin III'],['LIBE'],Rapporteur,"Le rapport d’évaluation de Dublin III, le New Pact et Dublin IV",Strasbourg,11/02/2020
Fabienne KELLER,22858,RE,France,Rencontre avec la Secrétaire d’État chargé des affaires européennes,[''],['LIBE'],Member,Réglement sur les contenus terroristes en ligne,Strasbourg,11/02/2020
Fabienne KELLER,22858,RE,France,Dîner avec le secrétaire d’Etat aux transports,,,Member,Transports,Strasbourg,10/02/2020
Fabienne KELLER,22858,RE,France,"Rencontre avec le ministère de l’Intérieur allemand, et de l’office fédéral de l’asile et des Migrations (Bundesamt fuer Asyl und Migration)",['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III","Bochum, Allemagne",07/02/2020
Fabienne KELLER,22858,RE,France,Rendez-vous avec la Directrice générale de la DG HOME,['Dublin III'],['LIBE'],Rapporteur,Asile et Migration,Bruxelles,06/02/2020
Fabienne KELLER,22858,RE,France,Rendez-vous avec la représentation allemande,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III",Bruxelles,06/02/2020
Fabienne KELLER,22858,RE,France,Rendez-vous avec la représentation permanente maltaise,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III",Bruxelles,06/02/2020
Fabienne KELLER,22858,RE,France,Rendez-vous avec la représentation permanente espagnole,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III",Bruxelles,06/02/2020
Fabienne KELLER,22858,RE,France,Rencontre avec le coordinateur interministériel pour le développement de l’usage du vélo,,,Member,Aménagement des territoires pour développer l’utilisation du vélo en ville,Paris,05/02/2020
Fabienne KELLER,22858,RE,France,Groupe de Travail Asile et Migration de l’Institut Montaigne,['Dublin III'],['LIBE'],Rapporteur,Asile et Migration,Paris,05/02/2020
Fabienne KELLER,22858,RE,France,"Dialogue avec les think tanks français sur les grands enjeux de l’Europe - Organisé par l’Institut Jacques Delors, Confrontation Europe et la Fondation Robert Schuman.",,,Member,"Débat « Des élus et des idées » : Le défi climatique, la transition numérique, l’approfondissement de la zone euro et du marché unique, la défense du multilatéralisme",Bruxelles,30/01/2020
Fabienne KELLER,22858,RE,France,RDV avec EASO,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, Rapport Dublin III",Bruxelles,29/01/2020
Fabienne KELLER,22858,RE,France,RDV avec DG HOME,['Dublin III'],['LIBE'],Rapporteur,"Asile et Migration, rapport Dublin III",Bruxelles,29/01/2020
Fabienne KELLER,22858,RE,France,Groupe de travail avec la Fondation Jacques Delors,,,Member,Conférence sur l’avenir de l’Europe,Paris,27/01/2020
Fabienne KELLER,22858,RE,France,Rencontre avec le représentant Europe Centrale du UNHCR,['Dublin III'],['LIBE'],Rapporteur,"Situation en Croatie, Asile et Migration",Bruxelles,20/01/2020
Fabienne KELLER,22858,RE,France,OFPRA,['Dublin III'],['LIBE'],Rapporteur,Visite de l'Office français de protection des réfugiés et des apatrides,Paris,17/01/2020
Fabienne KELLER,22858,RE,France,"Rencontre avec Pierre Creuzet, Président de l’association Centre-Ville en mouvement",,,Member,Organisation des Assises européennes à Strasbourg,Strasbourg,15/01/2020
Fabienne KELLER,22858,RE,France,Rencontre avec le PDG d’Alstrom,,,Member,La stratégie d’innovation d’Alstom en terme de transformation écologique et révolution numérique de leur trains et outils de signalisation ferroviaire pour s’inscrire dans le,Strasbourg,14/01/2020
Fabienne KELLER,22858,RE,France,"DG Elargissemnt, Commission Européenne",[''],['LIBE'],Member,Asile et Migration,Parlement Européen - Bruxelles,04/12/2019
Fabienne KELLER,22858,RE,France,Confédération des Petites et Moyennes Entreprises - CPME,[''],['BUDG'],Member,Journée européenne des PME,Bruxelles,04/12/2019
Fabienne KELLER,22858,RE,France,Agence Frontex,[''],['LIBE'],Member,Migration et Frontières,Parlement Européen - Bruxelles,13/11/2019
Fabienne KELLER,22858,RE,France,ONG Human Rights Watch,[''],['LIBE'],Member,Asile et Migration et situation en Grèce,Parlement Européen - Bruxelles,12/11/2019
Fabienne KELLER,22858,RE,France,L'Association National des Pôles d'équilibre territoriaux et ruraux et des Pays,,,Member,La place des territoires et de la ruralité dans les politiques européennes 2021-2027,Parlement Européen- Strasbourg,23/10/2019
Fabienne KELLER,22858,RE,France,"Marteen Grothuizen, Membre du Parlement Néerlandais",[''],['LIBE'],Member,Sujets: Asile et Migration,Parlement Européen - Bruxelles,07/10/2019
