epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
22858,Fabienne KELLER,Rapporteur,France,RE,Paris,"Visite des zones d’accueil et d’attente des demandeurs d’asile de l’aéroport Roissy Charles de Gaulle et d’un centre de rétention, organisée par la RP France",Rencontre avec la Police de l'Air et des Frontières,Fabienne KELLER,['Dublin III'],['LIBE'],14/02/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Les priorités pour l’Europe,Réunion de rentrée de la Secrétaire d’État chargé des affaires européennes,Fabienne KELLER,,,13/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Strasbourg,La situation des migrants dans les camps,Rencontre avec le Barreau de France,Fabienne KELLER,['Dublin III'],['LIBE'],11/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Strasbourg,"Le rapport d’évaluation de Dublin III, le New Pact et Dublin IV",Rencontre avec la commissaire européenne aux affaires intérieures,Fabienne KELLER,['Dublin III'],['LIBE'],11/02/2020
22858,Fabienne KELLER,Member,France,RE,Strasbourg,Réglement sur les contenus terroristes en ligne,Rencontre avec la Secrétaire d’État chargé des affaires européennes,Fabienne KELLER,[''],['LIBE'],11/02/2020
22858,Fabienne KELLER,Member,France,RE,Strasbourg,Transports,Dîner avec le secrétaire d’Etat aux transports,Fabienne KELLER,,,10/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,"Bochum, Allemagne","Asile et Migration, Rapport Dublin III","Rencontre avec le ministère de l’Intérieur allemand, et de l’office fédéral de l’asile et des Migrations (Bundesamt fuer Asyl und Migration)",Fabienne KELLER,['Dublin III'],['LIBE'],07/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,Asile et Migration,Rendez-vous avec la Directrice générale de la DG HOME,Fabienne KELLER,['Dublin III'],['LIBE'],06/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation allemande,Fabienne KELLER,['Dublin III'],['LIBE'],06/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente maltaise,Fabienne KELLER,['Dublin III'],['LIBE'],06/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, Rapport Dublin III",Rendez-vous avec la représentation permanente espagnole,Fabienne KELLER,['Dublin III'],['LIBE'],06/02/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Aménagement des territoires pour développer l’utilisation du vélo en ville,Rencontre avec le coordinateur interministériel pour le développement de l’usage du vélo,Fabienne KELLER,,,05/02/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Paris,Asile et Migration,Groupe de Travail Asile et Migration de l’Institut Montaigne,Fabienne KELLER,['Dublin III'],['LIBE'],05/02/2020
22858,Fabienne KELLER,Member,France,RE,Bruxelles,"Débat « Des élus et des idées » : Le défi climatique, la transition numérique, l’approfondissement de la zone euro et du marché unique, la défense du multilatéralisme","Dialogue avec les think tanks français sur les grands enjeux de l’Europe - Organisé par l’Institut Jacques Delors, Confrontation Europe et la Fondation Robert Schuman.",Fabienne KELLER,,,30/01/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, Rapport Dublin III",RDV avec EASO,Fabienne KELLER,['Dublin III'],['LIBE'],29/01/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Asile et Migration, rapport Dublin III",RDV avec DG HOME,Fabienne KELLER,['Dublin III'],['LIBE'],29/01/2020
22858,Fabienne KELLER,Member,France,RE,Paris,Conférence sur l’avenir de l’Europe,Groupe de travail avec la Fondation Jacques Delors,Fabienne KELLER,,,27/01/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Bruxelles,"Situation en Croatie, Asile et Migration",Rencontre avec le représentant Europe Centrale du UNHCR,Fabienne KELLER,['Dublin III'],['LIBE'],20/01/2020
22858,Fabienne KELLER,Rapporteur,France,RE,Paris,Visite de l'Office français de protection des réfugiés et des apatrides,OFPRA,Fabienne KELLER,['Dublin III'],['LIBE'],17/01/2020
22858,Fabienne KELLER,Member,France,RE,Strasbourg,Organisation des Assises européennes à Strasbourg,"Rencontre avec Pierre Creuzet, Président de l’association Centre-Ville en mouvement",Fabienne KELLER,,,15/01/2020
22858,Fabienne KELLER,Member,France,RE,Strasbourg,La stratégie d’innovation d’Alstom en terme de transformation écologique et révolution numérique de leur trains et outils de signalisation ferroviaire pour s’inscrire dans le,Rencontre avec le PDG d’Alstrom,Fabienne KELLER,,,14/01/2020
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Bruxelles,Asile et Migration,"DG Elargissemnt, Commission Européenne",Fabienne KELLER,[''],['LIBE'],04/12/2019
22858,Fabienne KELLER,Member,France,RE,Bruxelles,Journée européenne des PME,Confédération des Petites et Moyennes Entreprises - CPME,Fabienne KELLER,[''],['BUDG'],04/12/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Bruxelles,Migration et Frontières,Agence Frontex,Fabienne KELLER,[''],['LIBE'],13/11/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Bruxelles,Asile et Migration et situation en Grèce,ONG Human Rights Watch,Fabienne KELLER,[''],['LIBE'],12/11/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen- Strasbourg,La place des territoires et de la ruralité dans les politiques européennes 2021-2027,L'Association National des Pôles d'équilibre territoriaux et ruraux et des Pays,Fabienne KELLER,,,23/10/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Bruxelles,Sujets: Asile et Migration,"Marteen Grothuizen, Membre du Parlement Néerlandais",Fabienne KELLER,[''],['LIBE'],07/10/2019
22858,Fabienne KELLER,Member,France,RE,Nanning (Chine),"Forum d'échange entre collectivités européennes et chinoises ""Euro-China Greens & Smart Cities"", dans le cadre des programmes européens de coopération UE-Chine. Invitation en lien avec mon expérience de Maire de Strasbourg et de Députée européenne, aux côtés de l'Ambassadeur de l'UE en Chine et de Jean-Pierre Raffarin, Président de la Fondation Prospective & Innovation","Fondation Prospective & Innovation-FPI, Jean-Pierre Raffarin, Nicolas Chapuis, Ambassadeur de l'UE en Chine, China Centre for Urban Developement-CCUD, National Development and Reform Commission-NDRC",Fabienne KELLER,,,27/09/2019
